2026-06-10 23:47:02,528 - INFO - Epoch 10 | Step 400 | Loss: 3.9378
2026-06-10 23:47:14,720 - INFO - Epoch 10 | Step 500 | Loss: 3.9382
2026-06-10 23:47:24,896 - INFO - Epoch 10 | Step 600 | Loss: 3.9404
2026-06-11 00:02:41,021 - INFO - Epoch 1 | Step 100 | Loss: 8.1071
2026-06-11 00:02:57,219 - INFO - Epoch 1 | Step 200 | Loss: 7.7671
2026-06-11 00:03:12,596 - INFO - Epoch 1 | Step 300 | Loss: 7.5774
2026-06-11 00:03:29,981 - INFO - Epoch 1 | Step 400 | Loss: 7.4314
2026-06-11 00:03:45,394 - INFO - Epoch 1 | Step 500 | Loss: 7.2976
2026-06-11 00:04:02,784 - INFO - Epoch 1 | Step 600 | Loss: 7.1776
2026-06-11 00:04:18,176 - INFO - Epoch 1 | Step 700 | Loss: 7.0701
2026-06-11 00:04:35,503 - INFO - Epoch 1 | Step 800 | Loss: 6.9738
2026-06-11 00:04:50,862 - INFO - Epoch 1 | Step 900 | Loss: 6.8843
2026-06-11 00:05:08,169 - INFO - Epoch 1 | Step 1000 | Loss: 6.7989
2026-06-11 00:05:23,584 - INFO - Epoch 1 | Step 1100 | Loss: 6.7189
2026-06-11 00:05:40,914 - INFO - Epoch 1 | Step 1200 | Loss: 6.6472
2026-06-11 00:05:56,324 - INFO - Epoch 1 | Step 1300 | Loss: 6.5825
2026-06-11 00:06:13,678 - INFO - Epoch 1 | Step 1400 | Loss: 6.5213
2026-06-11 00:06:29,118 - INFO - Epoch 1 | Step 1500 | Loss: 6.4648
2026-06-11 00:06:46,512 - INFO - Epoch 1 | Step 1600 | Loss: 6.4132
2026-06-11 00:07:16,160 - INFO - Epoch 2 | Step 100 | Loss: 5.4918
2026-06-11 00:07:31,927 - INFO - Epoch 2 | Step 200 | Loss: 5.4833
2026-06-11 00:07:49,663 - INFO - Epoch 2 | Step 300 | Loss: 5.4578
2026-06-11 00:08:05,481 - INFO - Epoch 2 | Step 400 | Loss: 5.4282
2026-06-11 00:08:21,223 - INFO - Epoch 2 | Step 500 | Loss: 5.4027
2026-06-11 00:08:39,425 - INFO - Epoch 2 | Step 600 | Loss: 5.3782
2026-06-11 00:08:55,144 - INFO - Epoch 2 | Step 700 | Loss: 5.3540
2026-06-11 00:09:12,828 - INFO - Epoch 2 | Step 800 | Loss: 5.3329
2026-06-11 00:09:29,071 - INFO - Epoch 2 | Step 900 | Loss: 5.3140
2026-06-11 00:09:46,998 - INFO - Epoch 2 | Step 1000 | Loss: 5.2910
2026-06-11 00:10:03,202 - INFO - Epoch 2 | Step 1100 | Loss: 5.2710
2026-06-11 00:10:21,214 - INFO - Epoch 2 | Step 1200 | Loss: 5.2511
2026-06-11 00:10:37,516 - INFO - Epoch 2 | Step 1300 | Loss: 5.2326
2026-06-11 00:10:55,830 - INFO - Epoch 2 | Step 1400 | Loss: 5.2122
2026-06-11 00:11:12,045 - INFO - Epoch 2 | Step 1500 | Loss: 5.1953
2026-06-11 00:11:30,311 - INFO - Epoch 2 | Step 1600 | Loss: 5.1792
2026-06-11 00:12:06,906 - INFO - Epoch 3 | Step 100 | Loss: 4.7561
2026-06-11 00:12:24,681 - INFO - Epoch 3 | Step 200 | Loss: 4.7680
2026-06-11 00:12:40,166 - INFO - Epoch 3 | Step 300 | Loss: 4.7718
2026-06-11 00:12:57,996 - INFO - Epoch 3 | Step 400 | Loss: 4.7603
2026-06-11 00:13:13,710 - INFO - Epoch 3 | Step 500 | Loss: 4.7492
2026-06-11 00:13:29,787 - INFO - Epoch 3 | Step 600 | Loss: 4.7410
2026-06-11 00:13:48,069 - INFO - Epoch 3 | Step 700 | Loss: 4.7308
2026-06-11 00:14:04,211 - INFO - Epoch 3 | Step 800 | Loss: 4.7162
2026-06-11 00:14:22,493 - INFO - Epoch 3 | Step 900 | Loss: 4.7022
2026-06-11 00:14:38,617 - INFO - Epoch 3 | Step 1000 | Loss: 4.6915
2026-06-11 00:27:57,652 - INFO - Epoch 1 | Step 100 | Loss: 8.1170
2026-06-11 00:28:16,571 - INFO - Epoch 1 | Step 200 | Loss: 7.7763
2026-06-11 00:28:32,883 - INFO - Epoch 1 | Step 300 | Loss: 7.5983
2026-06-11 00:28:51,212 - INFO - Epoch 1 | Step 400 | Loss: 7.4446
2026-06-11 00:29:07,392 - INFO - Epoch 1 | Step 500 | Loss: 7.3155
2026-06-11 00:29:25,866 - INFO - Epoch 1 | Step 600 | Loss: 7.2049
2026-06-11 00:29:41,677 - INFO - Epoch 1 | Step 700 | Loss: 7.1032
2026-06-11 00:29:59,763 - INFO - Epoch 1 | Step 800 | Loss: 7.0114
2026-06-11 00:30:15,104 - INFO - Epoch 1 | Step 900 | Loss: 6.9270
2026-06-11 00:30:33,415 - INFO - Epoch 1 | Step 1000 | Loss: 6.8494
2026-06-11 00:30:48,654 - INFO - Epoch 1 | Step 1100 | Loss: 6.7760
2026-06-11 00:31:06,883 - INFO - Epoch 1 | Step 1200 | Loss: 6.7054
2026-06-11 00:31:22,023 - INFO - Epoch 1 | Step 1300 | Loss: 6.6399
2026-06-11 00:31:40,171 - INFO - Epoch 1 | Step 1400 | Loss: 6.5787
